香港,#genre#
翡翠台,http://sl.tmtv.me/20201226/ubtl.php?cid=390
翡翠台,http://sl.tmtv.me/20201226/ubtl.php?cid=30
TVB明珠,http://sl.tmtv.me/20201226/ubtl.php?cid=391
無線新聞,http://sl.tmtv.me/20201226/ubtl.php?cid=394
無線財經,http://sl.tmtv.me/20201226/ubtl.php?cid=393
有線新聞,http://sl.tmtv.me/20201226/ubtl.php?cid=395
NOW新聞,http://sl.tmtv.me/20201226/ubtl.php?cid=396
TVB J2,http://sl.tmtv.me/20201226/ubtl.php?cid=392
有線603HD,http://sl.tmtv.me/20201226/ubtl.php?cid=398
有線18,http://sl.tmtv.me/20201226/ubtl.php?cid=44
有線體育1,http://sl.tmtv.me/20201226/ubtl.php?cid=401
有線體育2,http://sl.tmtv.me/20201226/ubtl.php?cid=356
有線娛樂,http://sl.tmtv.me/20201226/ubtl.php?cid=360
有線電影,http://sl.tmtv.me/20201226/ubtl.php?cid=354
香港開電視,http://sl.tmtv.me/20201226/ubtl.php?cid=17
VIUTV,http://sl.tmtv.me/20201226/ubtl.php?cid=72
VIUTV6,http://sl.tmtv.me/20201226/ubtl.php?cid=176
NOW直播,http://sl.tmtv.me/20201226/ubtl.php?cid=400
RTHK31,http://sl.tmtv.me/20201226/ubtl.php?cid=353
RTHK32,http://sl.tmtv.me/20201226/ubtl.php?cid=397
TVB星河,http://sl.tmtv.me/20201226/ubtl.php?cid=1079
TVB經典,http://sl.tmtv.me/20201226/ubtl.php?cid=1083
TVB華麗,http://sl.tmtv.me/20201226/ubtl.php?cid=1084
衛視卡式,http://sl.tmtv.me/20201226/ubtl.php?cid=1085
鳳凰中文,http://sl.tmtv.me/20201226/ubtl.php?cid=357
鳳凰資訊,http://sl.tmtv.me/20201226/ubtl.php?cid=359
鳳凰資訊,http://sl.tmtv.me/20201226/ubtl.php?cid=21
鳳凰香港,http://sl.tmtv.me/20201226/ubtl.php?cid=358
香港衛視,http://sl.tmtv.me/20201226/ubtl.php?cid=399
澳視澳門,http://sl.tmtv.me/20201226/ubtl.php?cid=23
澳門蓮花,http://sl.tmtv.me/20201226/ubtl.php?cid=70
澳視葡語,http://sl.tmtv.me/20201226/ubtl.php?cid=24
澳門衛星,http://sl.tmtv.me/20201226/ubtl.php?cid=29
亞美衛視,http://sl.tmtv.me/20201226/ubtl.php?cid=1001
爆谷台,http://sl.tmtv.me/20201226/ubtl.php?cid=152
台灣,#genre#
TVBS綜合,http://sl.tmtv.me/20201226/ubtl.php?cid=88
